college, cl
North Eastern Regional Institute of Science and Technology- Nirjuli-791109 (Itanagar)-Arunachal Pradesh, https://nerist.ac.in/contact
IIHT(IIHT)- Varanasi, https://www.iihtvaranasi.edu.in/
Chhattisgarh Swami Vivekanada Technical University- Bhilai (CSVTU Bhilai), https://csvtu.ac.in/
Institute of Chemical Technology- Mumbai: Indian Oil Odisha Campus- Bhubaneswar, https://iocb.ictmumbai.edu.in/
North-Eastern Hill University- Shillong, https://nehu.ac.in/
Central University of Jammu, https://cujammu.ac.in/
Institute of Engineering and Technology- Dr. H. S. Gour University. Sagar (A Central University), https://dhsgsu.edu.in/index.php/en/departments01/institute-of-engineering-and-technology
Central University of Haryana, https://www.cuh.ac.in/
BIT- Deoghar Off-Campus, https://www.bitmesra.ac.in/BIT_Mesra?cid=4&pid=H
BIT- Patna Off-Campus, https://www.bitmesra.ac.in/BIT_Mesra?cid=8&pid=H
IIHT- Salem, https://www.iihtsalem.edu.in/
